time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T23:08:47.560Z,35.6935,-117.523,6.02,1.42,ml,22,61,0.1177,0.17,ci,ci37237092,2019-11-08T16:12:01.898Z,"14km SW of Searles Valley, CA",earthquake,0.3,1.04,0.162,12,reviewed,ci,ci
2019-07-04T23:08:35.480Z,35.6701667,-117.5156667,8.12,1.51,ml,27,62,0.09416,0.14,ci,ci38445471,2019-11-08T16:15:19.083Z,"15km SW of Searles Valley, CA",earthquake,0.17,0.76,0.165,21,reviewed,ci,ci
2019-07-04T23:08:11.030Z,35.5963333,-117.6101667,4.51,1.56,ml,23,84,0.121,0.22,ci,ci37237076,2019-11-08T15:43:51.542Z,"6km ESE of Ridgecrest, CA",earthquake,0.27,0.85,0.108,11,reviewed,ci,ci
2019-07-04T23:07:10.710Z,35.7041667,-117.4866667,1.51,2.57,ml,39,53,0.1191,0.11,ci,ci38445463,2019-11-08T15:43:30.380Z,"10km SW of Searles Valley, CA",earthquake,0.11,0.29,0.155,23,reviewed,ci,ci
2019-07-04T23:06:47.550Z,35.685,-117.5035,2.93,1.5,ml,17,143,0.1039,0.15,ci,ci37236916,2019-11-07T23:19:45.952Z,"13km SW of Searles Valley, CA",earthquake,0.27,0.58,0.13,10,reviewed,ci,ci
2019-07-04T23:06:28.700Z,35.5681667,-117.6135,2.93,2.04,ml,19,94,0.1047,0.18,ci,ci37236908,2019-11-07T23:07:23.679Z,"8km SE of Ridgecrest, CA",earthquake,0.28,0.9,0.207,13,reviewed,ci,ci
2019-07-04T23:06:19.380Z,35.698,-117.5213333,5.02,2.31,ml,36,78,0.1212,0.16,ci,ci37236876,2019-11-07T22:57:17.040Z,"13km SW of Searles Valley, CA",earthquake,0.17,0.55,0.175,22,reviewed,ci,ci
2019-07-04T23:06:12.060Z,35.699,-117.5168333,2.09,2.03,ml,27,141,0.1208,0.22,ci,ci38445455,2019-11-07T22:58:34.908Z,"13km SW of Searles Valley, CA",earthquake,0.28,0.6,0.142,10,reviewed,ci,ci
2019-07-04T23:05:41.150Z,35.7223333,-117.532,5.23,1.18,ml,17,139,0.1074,0.12,ci,ci37236860,2019-11-07T22:11:22.028Z,"13km WSW of Searles Valley, CA",earthquake,0.26,1.57,0.068,9,reviewed,ci,ci
2019-07-04T23:05:09.670Z,35.7233333,-117.5208333,3.35,1.88,ml,34,51,0.1113,0.16,ci,ci38445447,2019-11-07T21:57:13.939Z,"12km WSW of Searles Valley, CA",earthquake,0.15,0.57,0.134,27,reviewed,ci,ci
